,topic_id,name,validation_stage,SourceData,KeyBERT_InKey,TopicRank_InKey
105,08738323-47ec-51e2-949a-fe085cf0c1e2,Office 365,9,Found,Found,NotFound
106,75384daa-43f9-5a9b-8c6f-68dab612eedb,OpenText,9,Found,NotFound,NotFound
107,81e90b3c-4924-597e-8fbc-8517171fdaa7,Outsystems,9,Found,NotFound,Found
108,d6093410-0231-52a3-81ff-84545dd7b514,Performance Management,9,Found,NotFound,NotFound
109,e85ae8f0-f850-5e4f-8ff8-5291a6d319a8,PIM,9,Found,NotFound,NotFound
110,c838bcbd-d4ee-5f0b-94c3-083d1fd8d4bf,Plant Maintenance,9,Found,NotFound,NotFound
111,56962598-4278-5e2d-8acd-04b4817175ff,Power Automate,9,Found,NotFound,Found
112,101f57f8-c982-51ca-8e6f-04297b1dedb0,Power BI,9,Found,NotFound,NotFound
113,19ef91e8-ab2d-54f9-98f6-00c28761e651,Process Excellence,9,Found,NotFound,NotFound
114,706668be-306a-564b-a862-1445d1d36df9,Process Mining,9,Found,NotFound,NotFound
115,9f55d9c6-cade-5fd2-b156-7ba128e59ea3,Product capabilities,9,Found,NotFound,NotFound
116,c6d47402-d039-5d4e-a3a7-98f1947d8bb0,Production Integration,9,Found,NotFound,NotFound
117,117faafe-d64e-5a82-a7e5-0a17aaeb1527,Product Management,9,Found,NotFound,NotFound
118,ef521d35-9925-54ba-96d7-b95307d0cbad,Product portfolio management,9,Found,NotFound,NotFound
119,41ad2f46-ab89-54c0-9bf5-65571100e0fb,Promotion management,9,Found,NotFound,NotFound
120,4d0777a1-cddb-55f5-bcb4-ce73bd171284,Qlikview,9,NotFound,NotFound,NotFound
121,9e067f7a-96dd-5884-865e-8960280f0471,Quality assurance,9,Found,NotFound,NotFound
122,e1cf1212-8ecf-52d9-92c8-9a78ec38cc92,RF,9,Found,NotFound,NotFound
123,8f53d815-5725-5636-b304-6efee483749c,Rise with SAP,9,Found,NotFound,NotFound
124,337411dc-6f6f-51ee-a626-51381e04546e,Risk management,9,Found,NotFound,NotFound
125,82ff041b-1f24-53fa-b7f1-ff3dbc72f74e,RPA,9,Found,NotFound,Found
126,6ef17c47-bf87-5398-a847-4db562bd9d7a,S/4 Hana,9,Found,NotFound,NotFound
127,9eeeca0d-e897-5e48-a699-3c137da1ef2f,S4/HANA Embedded Analytics,9,Found,NotFound,NotFound
128,ed57a034-9900-5d3b-ab12-6922c923d559,Sales & Distribution,9,Found,NotFound,NotFound
129,92627ee3-1ae6-518c-8ff2-0c6a05d6d8e1,Salesforce,9,Found,NotFound,Found
130,dbdb86b7-f708-5faf-a67c-131f936b21f1,SAP,9,Found,NotFound,Found
131,ea36a83a-4a4e-553d-9dd2-513715625b1d,SAP ABAP,9,Found,NotFound,NotFound
132,ad4be297-0d6f-51b9-957f-9b7abe1bc6aa,SAP AFS,9,NotFound,NotFound,NotFound
133,21cb9d77-1376-5501-a9cb-8c4c7f590c1f,SAP AIF,9,NotFound,NotFound,NotFound
134,e35c5adb-58ec-5f96-88bb-bdd9a4eba66a,SAP Analytics ,9,Found,Found,NotFound
